instancia;arquivo;execucao;seed;threads;funcao_objetivo;distancia_total_km;penalidade_total;numero_rotas;paradas_selecionadas;carga_total_estudantes;tempo_total_rotas_seg;tempo_medio_rota_seg;maior_tempo_rota_seg;iteracao_final;iteracao_ultima_melhoria;tempo_algoritmo_seg;tempo_parede_seg
Cardiff;.\data\Cardiff.bus;9;3102870708;1;500075.919000;75.919000;500000.000000;5;9;156;8796.000000;1759.200000;2336.000000;201;101;9.719948;11.447857
Cardiff;.\data\Cardiff.bus;10;1791903078;1;500076.113000;76.113000;500000.000000;5;10;156;8828.000000;1765.600000;2389.000000;215;115;9.298223;10.945670
Edinburgh-1;.\data\Edinburgh-1.bus;1;1387097953;1;1600161.590000;161.590000;1600000.000000;20;26;680;22329.000000;1116.450000;1853.000000;306;252;60.056629;65.376079
Edinburgh-1;.\data\Edinburgh-1.bus;2;2812006613;1;1700156.423000;156.423000;1700000.000000;19;26;680;22429.000000;1180.473684;2025.000000;313;243;60.010639;65.652486
Edinburgh-1;.\data\Edinburgh-1.bus;3;1553870454;1;100163.153000;163.153000;100000.000000;19;25;680;22801.000000;1200.052632;1982.000000;260;246;60.184286;65.290761
Edinburgh-1;.\data\Edinburgh-1.bus;4;1605464926;1;900158.423000;158.423000;900000.000000;20;26;680;22455.000000;1122.750000;1988.000000;280;253;60.021507;70.749993
Edinburgh-1;.\data\Edinburgh-1.bus;5;980383131;1;100149.788000;149.788000;100000.000000;19;26;680;22046.000000;1160.315789;1817.000000;334;317;60.180838;65.781452
Edinburgh-1;.\data\Edinburgh-1.bus;6;1007225122;1;500163.303000;163.303000;500000.000000;20;25;680;23215.000000;1160.750000;1940.000000;245;241;60.249296;66.752696
Edinburgh-1;.\data\Edinburgh-1.bus;7;1261492193;1;400151.508000;151.508000;400000.000000;20;22;680;21432.000000;1071.600000;1941.000000;193;93;45.873748;52.785428
Edinburgh-1;.\data\Edinburgh-1.bus;8;4243407436;1;148.507000;148.507000;0.000000;20;25;680;21301.000000;1065.050000;1851.000000;279;278;60.011925;65.684410
Edinburgh-1;.\data\Edinburgh-1.bus;9;2710021800;1;1300164.192000;164.192000;1300000.000000;19;23;680;23794.000000;1252.315789;2869.000000;247;243;60.087947;66.992626
Edinburgh-1;.\data\Edinburgh-1.bus;10;3289927555;1;1300142.249000;142.249000;1300000.000000;18;23;680;20651.000000;1147.277778;2225.000000;296;286;60.193414;66.530524
Edinburgh-2;.\data\Edinburgh-2.bus;1;395587690;1;300043.961000;43.961000;300000.000000;10;12;320;8115.000000;811.500000;1330.000000;197;100;60.247648;65.973095
Edinburgh-2;.\data\Edinburgh-2.bus;2;3337208645;1;39.751000;39.751000;0.000000;9;10;320;7195.000000;799.444444;1215.000000;183;135;60.017148;66.776715
Edinburgh-2;.\data\Edinburgh-2.bus;3;1862732352;1;43.252000;43.252000;0.000000;10;12;320;8176.000000;817.600000;1275.000000;195;95;49.921894;55.772002
Edinburgh-2;.\data\Edinburgh-2.bus;4;120181579;1;41.361000;41.361000;0.000000;10;12;320;7467.000000;746.700000;1404.000000;198;157;60.134241;66.103466
Edinburgh-2;.\data\Edinburgh-2.bus;5;1850541474;1;42.978000;42.978000;0.000000;9;12;320;7895.000000;877.222222;1302.000000;188;156;60.131721;66.181280
